id,keyword,cluster,intent,target_route,content_type,conversion_score,competition_guess,priority
"RAT-015","how to raise rates when client says they cannot afford increase","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-016","rate increase email template when client says they cannot afford increase","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-017","how to raise rates when you are overbooked and need margin","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-018","rate increase email template when you are overbooked and need margin","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-019","how to raise rates when you improved skills and results","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-020","rate increase email template when you improved skills and results","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-021","how to raise rates when annual contract is up for renewal","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-022","rate increase email template when annual contract is up for renewal","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-023","how to raise rates when client requests additional channels","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-024","rate increase email template when client requests additional channels","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-025","how to raise rates when client expects faster turnaround now","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-026","rate increase email template when client expects faster turnaround now","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-027","how to raise rates when inflation increased your business costs","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-028","rate increase email template when inflation increased your business costs","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-029","how to raise rates when you are switching to package pricing","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-030","rate increase email template when you are switching to package pricing","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-031","how to raise rates when legacy client is below current minimum","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-032","rate increase email template when legacy client is below current minimum","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-033","how to raise rates when new client asks for old client rate","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-034","rate increase email template when new client asks for old client rate","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-035","how to raise rates when agency client wants volume discount","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-036","rate increase email template when agency client wants volume discount","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-037","how to raise rates when you need to replace underpriced retainer","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-038","rate increase email template when you need to replace underpriced retainer","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-039","how to raise rates when client asks to lock rate for two years","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-040","rate increase email template when client asks to lock rate for two years","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-041","how to raise rates when client threatens to hire cheaper option","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-042","rate increase email template when client threatens to hire cheaper option","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-043","how to raise rates when client asks for more meetings per week","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-044","rate increase email template when client asks for more meetings per week","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-045","how to raise rates when scope expanded after initial onboarding","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-046","rate increase email template when scope expanded after initial onboarding","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-047","how to raise rates when you are moving from solo to studio model","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-048","rate increase email template when you are moving from solo to studio model","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
"RAT-049","how to raise rates when you need to include strategy time in billing","rate-increase","pricing-upgrade","/pricing","guide","4","low","P2"
"RAT-050","rate increase email template when you need to include strategy time in billing","rate-increase","pricing-upgrade","/pricing","template","5","low","P1"
